Investment,Code,Platform,Ccy,Net amount,Cost (EUR),Last price (ccy),Value (ccy),FX→EUR,Value (EUR),Unrealised (EUR),Unrealised %,Price_Missing
Gold,XAU,revolut,USD,0.773843,2410.0,4486.9619140625,3472.204068463867,1.1535090208053589,3010.1230296748245,600.1230296748245,24.901370525926325,False
DB Physical Gold ETC (EUR) GoldETF,XAD5.MI,moneybase,EUR,1.0,335.05,376.7799987792969,376.7799987792969,1.0,376.7799987792969,41.729998779296864,12.454857119623,False
Evonik,EVK.DE,revolut,EUR,33.55704697,501.25,16.43000030517578,551.342291957898,1.0,551.342291957898,50.092291957898055,9.993474704817567,False
Vanguard S&P 500 UCITS ETF (Acc),VUAA.MI,revolut,EUR,52.286108729999995,5403.550000000001,107.23999786376953,5607.162188510021,1.0,5607.162188510021,203.61218851002013,3.7681188942458212,False
Melia Hotels,MEL.MC,revolut,EUR,52.86882634,500.0,9.449999809265137,499.61039882907164,1.0,499.61039882907164,-0.38960117092835844,-0.07792023418567169,False
Xtrackers MSCI Urope ETF (Acc),XMEU.MI,revolut,EUR,34.08973991,3610.33,104.54000091552734,3563.741441401489,1.0,3563.741441401489,-46.5885585985111,-1.2904238282514646,False
Vanguard S&P 500 UCITS ETF (Acc),VUAA.MI,moneybase,EUR,19.0,2112.9700000000003,107.23999786376953,2037.559959411621,1.0,2037.559959411621,-75.41004058837916,-3.5689120332223907,False
Intuit Inc.,INTU,revolut,USD,1.10864745,434.69777122539244,416.44000244140625,461.68514678465885,1.1535090208053589,400.24407131408367,-34.453699911308775,-7.925897529721724,False
TOTALS (priced only),,,,,15307.847771225393,,,,16046.563379878306,738.7156086529121,4.825731348344719,False
Unpriced cost at risk,,,,,0.0,,,,,,,True
