Year,Investment,Code,Platform,Ccy,First buy,First sell,Last sell,Sell trades,Units sold,Proceeds (EUR),Cost basis sold (EUR),Realised P/L (EUR)
2025,Bawag,0B2.F,revolut,EUR,2024-09-25,2025-11-03,2025-12-10,3,32.68185,3660.574,3108.66,551.914
2025,Microsoft,MSFT,revolut,USD,2025-04-10,2025-12-18,2025-12-18,1,5.108343,2083.859409657055,1761.414907056488,322.44450260056715
2025,Fitell,FTEL,moneybase,USD,2025-11-11,2025-12-02,2025-12-29,2,618.82006761,629.7694104015391,482.1406359524559,147.62877444908307
2025,Frquentis AG,FQT,revolut,EUR,2025-09-16,2025-09-30,2025-09-30,1,16.08887096,1077.95435432,1000.0,77.95435432
2025,UBS(Lux) money Market Fund -USD P-Acc (UBSMUSI),UBSMUSI,moneybase,USD,2024-10-05,2025-11-10,2025-11-10,1,0.0995,180.18103448275863,180.53600712867714,-0.3549726459185081
2025,DWS Group,DWS.DE,revolut,EUR,2025-11-05,2025-12-16,2025-12-16,1,4.12807339,221.88,225.979999755,-4.099999754999999
2025,iShares Edge MSCI World Quality Factor ETF (Acc),IS3Q.DE,revolut,EUR,2024-12-18,2025-09-09,2025-09-09,3,21.446302,1376.8525884,1452.0,-75.14741160000003
2026,BNP Paribas SA,BNP.PA,revolut,EUR,2025-11-05,2026-01-05,2026-01-05,1,8.27437916,675.9799999999999,549.9999997264,125.9800002735999
2026,Deutsche Telekom AG,DTE.DE,revolut,EUR,2026-01-06,2026-03-23,2026-03-23,1,10.80592699,336.25,300.0,36.25
2026,SCHOTT Pharma AG & Co. KGaA,1SXP.DE,revolut,EUR,2026-01-23,2026-02-11,2026-02-11,1,33.6449468,521.5300000000001,507.28999999999996,14.240000000000123
2026,"Repsol, S.A.",REP.MC,revolut,EUR,2026-03-12,2026-03-23,2026-03-23,1,45.41605839,1011.6,999.9999999999999,11.600000000000136
2026,ishares edge MSCI World Minimum Volatility ETF (Acc),IQQ0.DE,revolut,EUR,2025-11-03,2026-01-16,2026-01-16,1,10.83616606,681.1899999999999,670.7468489155999,10.443151084400029
2026,Embracer Group AB N,TH93.F,revolut,EUR,2026-01-23,2026-02-10,2026-02-10,1,109.35101951,502.63,499.99999999999994,2.6300000000000523
2026,"Roper Technologies, Inc.",ROP,revolut,USD,2026-03-17,2026-03-27,2026-03-27,1,1.39758497,425.1408267614178,434.69777122539244,-9.556944463974617
2026,LKQ,LKQ,revolut,USD,2026-01-28,2026-03-09,2026-03-09,1,15.14813692,404.7165729121593,418.61533322198096,-13.898760309821682
2026,UnitedHealth Group Incorporated,UNH,revolut,USD,2026-01-08,2026-01-20,2026-01-20,1,1.46253775,412.6706607019958,428.2569593147752,-15.586298612779387
2026,Convatec Group plc,CTEC.L,moneybase,GBP,2025-12-25,2026-03-04,2026-03-04,1,120.0,323.0097645031591,341.3706165482466,-18.360852045087483
2026,Fresenius Medical Care AG,FME.DE,revolut,EUR,2026-03-16,2026-03-20,2026-03-20,1,12.50313361,477.87,500.0,-22.129999999999995
2026,Bouygues SA,EN.PA,revolut,EUR,2026-03-19,2026-03-23,2026-03-23,1,10.05227181,478.89,502.0,-23.110000000000014
2026,Bawag,0B2.F,revolut,EUR,2024-09-25,2026-03-27,2026-03-27,1,7.69230769,967.58,1002.5000000000003,-34.9200000000003
2026,Intuit Inc.,INTU,moneybase,USD,2025-12-23,2026-01-02,2026-01-02,1,1.19024593,637.8551318146916,681.1409110259684,-43.285779211276804
2026,SCOR SE,SCR.PA,revolut,EUR,2025-12-23,2026-01-23,2026-01-23,1,35.12059238,947.29,1000.0,-52.710000000000036
2026,Zalando SE,ZAL.DE,revolut,EUR,2026-03-17,2026-03-27,2026-03-27,1,21.07037505,435.70000000000005,500.0,-64.29999999999995
2026,Intertek Group,ITRKL.XC,moneybase,GBP,2026-01-23,2026-03-04,2026-03-04,1,8.0,362.1596783457783,427.77318686764585,-65.61350852186757
2026,Fitell,FTEL,moneybase,USD,2025-11-11,2026-01-15,2026-01-15,1,559.43333954,182.83723331039226,255.95085743537243,-73.11362412498016
2026,Paycom Software,PAYC,revolut,USD,2026-01-23,2026-01-28,2026-01-28,1,6.54213943,770.7282445298147,879.0172292545712,-108.28898472475657
2026,Booking,BKNG,revolut,USD,2025-12-18,2026-01-07,2026-02-23,4,0.5752308899999999,2400.133914765506,2509.816162465218,-109.68224769971232
2026,DoubleVerify,DV,revolut,USD,2026-01-23,2026-02-03,2026-02-03,1,91.78348623,763.4946191000763,881.6719409282699,-118.17732182819361
2026,XYZ,XYZ,revolut,USD,2025-12-29,2026-02-03,2026-02-03,1,10.701424939999999,511.54986865519874,631.8041129306798,-120.25424427548108
